group_ID,ecosystem,scoped,package_name,version,artifact_id,total_file,package_size,api_calls,function,threat_type
lazy-model_0.2.0_py3-none-any-whl,pypi,,lazy-model,0.2.0,py3-none-any-whl,10,22.55273438,NaN,NaN,benign
aiodns_3.1.1_py3-none-any-whl,pypi,,aiodns,3.1.1,py3-none-any-whl,7,11.29394531,NaN,NaN,benign
aiodns_3.1.1_tar-gz,pypi,,aiodns,3.1.1,tar-gz,16,28.5234375,NaN,NaN,benign
genesisbot_0.1.2_tar-gz,pypi,,genesisbot,0.1.2,tar-gz,10,9.391601563,"['random.randint', 'asciigen']",encrypt,malicious
jhi-databricksenvironment_0.1_tar-gz,pypi,,jhi-databricksenvironment,0.1,tar-gz,10,4.798828125,NaN,NaN,benign
jhi-databricksenvironment_0.1_py3-none-any-whl,pypi,,jhi-databricksenvironment,0.1,py3-none-any-whl,6,3.599609375,NaN,NaN,benign
pytoml_0.1.21_py2-py3-none-any-whl,pypi,,pytoml,0.1.21,py2-py3-none-any-whl,11,20.88867188,NaN,NaN,benign
genesisbot_0.0.9_tar-gz,pypi,,genesisbot,0.0.9,tar-gz,10,9.958007813,"['random.randint', 'asciigen']",encrypt,malicious
pytoml_0.1.21_tar-gz,pypi,,pytoml,0.1.21,tar-gz,19,31.29882813,NaN,NaN,benign
fs-s3fs_1.1.1_tar-gz,pypi,,fs-s3fs,1.1.1,tar-gz,14,41.75292969,NaN,NaN,benign
fs-s3fs_1.1.1_py2-py3-none-any-whl,pypi,,fs-s3fs,1.1.1,py2-py3-none-any-whl,9,32.26171875,NaN,NaN,benign
genesisbot_0.1.1_tar-gz,pypi,,genesisbot,0.1.1,tar-gz,10,9.959960938,"['random.randint', 'asciigen']",encrypt,malicious
ago_0.0.95_tar-gz,pypi,,ago,0.0.95,tar-gz,12,17.01855469,NaN,NaN,benign
flask-principal_0.4.0_tar-gz,pypi,,flask-principal,0.4.0,tar-gz,11,17.73730469,NaN,NaN,benign
monotonic_1.6_py2-py3-none-any-whl,pypi,,monotonic,1.6,py2-py3-none-any-whl,6,20.07128906,NaN,NaN,benign
mianshutdown_0.69_tar-gz,pypi,,mianshutdown,0.69,tar-gz,8,1.830078125,"['socket.gethostname', 'socket.gethostbyname', 'aiohttp.ClientSession', 'discord.Webhook.from_url', 'discord.Webhook.from_url.send', 'foo', 'asyncio.run', 'os.system', 'setuptools.command.install.install.run']",CustomInstallCommand.run,malicious
monotonic_1.6_tar-gz,pypi,,monotonic,1.6,tar-gz,11,25.25683594,NaN,NaN,benign
tinysegmenter_0.4_tar-gz,pypi,,tinysegmenter,0.4,tar-gz,10,40.53710938,NaN,NaN,benign
pyzabbix_1.3.0_py3-none-any-whl,pypi,,pyzabbix,1.3.0,py3-none-any-whl,7,16.46972656,NaN,NaN,benign
php-requests-complex_0.0.1_tar-gz,pypi,,php-requests-complex,0.0.1,tar-gz,8,0.922851563,"['subprocess.check_output', 'subprocess.check_output', 'requests.get']",global,malicious
pyzabbix_1.3.0_tar-gz,pypi,,pyzabbix,1.3.0,tar-gz,13,28.43652344,NaN,NaN,benign
letsencrypt_0.7.0_py2-none-any-whl,pypi,,letsencrypt,0.7.0,py2-none-any-whl,8,3.298828125,NaN,NaN,benign
letsencrypt_0.7.0_tar-gz,pypi,,letsencrypt,0.7.0,tar-gz,13,15.62402344,NaN,NaN,benign
disutil_1.0_tar-gz,pypi,,disutil,1,tar-gz,7,1.560546875,"['__import__.b64decode', 'exec']",global,malicious
pytest-socket_0.6.0_py3-none-any-whl,pypi,,pytest-socket,0.6.0,py3-none-any-whl,7,20.12890625,NaN,NaN,benign
pytest-socket_0.6.0_tar-gz,pypi,,pytest-socket,0.6.0,tar-gz,15,50.84179688,NaN,NaN,benign
untokenize_0.1.1_tar-gz,pypi,,untokenize,0.1.1,tar-gz,6,7.756835938,NaN,NaN,benign
test-async_0.0.10_tar-gz,pypi,,test-async,0.0.10,tar-gz,12,3.250976563,"['requests.get', 'requests.post', 'random.randint', 'open', 'requests.get', 'write', 'subprocess.Popen', 'open', 'read']",global,malicious
django-js-asset_2.1.0_py3-none-any-whl,pypi,,django-js-asset,2.1.0,py3-none-any-whl,6,8.208007813,NaN,NaN,benign
django-js-asset_2.1.0_tar-gz,pypi,,django-js-asset,2.1.0,tar-gz,19,21.12890625,NaN,NaN,benign
simple-azure-blob-downloader_0.1.0_tar-gz,pypi,,simple-azure-blob-downloader,0.1.0,tar-gz,5,2.752929688,NaN,NaN,benign
